modality,source,component,TCGA-BRCA,TCGA-COAD,TCGA-GBM,TCGA-HNSC,TCGA-KIRC,TCGA-LGG,TCGA-LUAD,TCGA-LUSC,TCGA-OV,TCGA-PRAD
clinical_qwen,baseline,clinical_qwen,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
clinical_qwen,model_best_component,D_clin_all,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
clinical_qwen,model_best_decomposition_unique,U_clin_mol,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
clinical_qwen,model_best_decomposition_shared,S_clin_mol,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
clinical_qwen,model_best_decomposition_joint,D_clin_mol,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
pathology_qwen,baseline,pathology_qwen,1.0000 ± 0.0000,0.9770 ± 0.0000,0.9576 ± 0.0000,0.9808 ± 0.0000,0.9907 ± 0.0000,0.9902 ± 0.0000,0.9100 ± 0.0000,0.8571 ± 0.0000,0.9569 ± 0.0000,1.0000 ± 0.0000
pathology_qwen,model_best_component,D_path_all,0.9953 ± 0.0057,0.9747 ± 0.0150,0.9203 ± 0.0154,0.9788 ± 0.0080,0.9907 ± 0.0000,0.9608 ± 0.0183,0.8500 ± 0.0255,0.7796 ± 0.0185,0.9448 ± 0.0157,0.9940 ± 0.0055
pathology_qwen,model_best_decomposition_unique,U_path_wsi,0.9944 ± 0.0039,0.9701 ± 0.0103,0.9237 ± 0.0085,0.9673 ± 0.0053,0.9888 ± 0.0042,0.9588 ± 0.0175,0.8340 ± 0.0251,0.7898 ± 0.0365,0.9466 ± 0.0239,0.9900 ± 0.0100
pathology_qwen,model_best_decomposition_shared,S_path_wsi,0.9944 ± 0.0061,0.9701 ± 0.0103,0.9203 ± 0.0154,0.9692 ± 0.0043,0.9869 ± 0.0051,0.9608 ± 0.0120,0.8120 ± 0.0327,0.7776 ± 0.0221,0.9414 ± 0.0268,0.9920 ± 0.0045
pathology_qwen,model_best_decomposition_joint,D_path_wsi,0.9963 ± 0.0039,0.9770 ± 0.0115,0.9220 ± 0.0152,0.9731 ± 0.0043,0.9907 ± 0.0000,0.9608 ± 0.0183,0.8420 ± 0.0239,0.7918 ± 0.0256,0.9431 ± 0.0256,0.9920 ± 0.0084
wsi,baseline,wsi,0.9535 ± 0.0000,0.3218 ± 0.0000,0.4153 ± 0.0000,0.1827 ± 0.0000,0.4860 ± 0.0000,0.2255 ± 0.0000,0.2600 ± 0.0000,0.1224 ± 0.0000,0.3621 ± 0.0000,0.3000 ± 0.0000
wsi,model_best_component,D_wsi_all,0.7767 ± 0.0223,0.4000 ± 0.0298,0.4237 ± 0.0104,0.2962 ± 0.0185,0.6262 ± 0.0093,0.3451 ± 0.0502,0.2760 ± 0.0297,0.2347 ± 0.0306,0.5362 ± 0.0301,0.4020 ± 0.0148
